2021-11-08 20:30:00.677223, rainbow6, moobot, @majestic_spaz LINK your account here: https://drops-register.ubi.com/ | Check your DROPS PROGRESS here: https://www.twitch.tv/drops/inventory | For more info: https://www.twitch.tv/drops/campaigns | Event Guide: https://www.ubisoft.com/en-gb/esports/rainbow-six/siege/news-updates/1YixsoBSeyKb56TZIDyfB2, PRIVMSG
2021-11-08 20:30:03.505625, rainbow6, diego74965, @diego74965 thanks <3, PRIVMSG
2021-11-08 20:30:04.549252, rainbow6, czrpando, and got a fucking IQ charm, PRIVMSG
2021-11-08 20:30:07.306483, rainbow6, darkslostempyre, @PinkPantelo tell someone who cares, PRIVMSG
2021-11-08 20:30:07.701182, rainbow6, irise24, 🌊 🌊, PRIVMSG
2021-11-08 20:30:08.736812, rainbow6, akoz0186, BibleThump, PRIVMSG
2021-11-08 20:30:10.670622, rainbow6, czrpando, thankyou', PRIVMSG
2021-11-08 20:30:17.877735, rainbow6, nenfs, -640, PRIVMSG
2021-11-08 20:30:18.513734, rainbow6, kivendesanta, SeemsGood, PRIVMSG
2021-11-08 20:30:20.413466, rainbow6, prodgmk, !schedule, PRIVMSG
2021-11-08 20:30:20.642250, rainbow6, moobot, @prodgmk https://siege.gg/matches?tab=upcoming&competitions, PRIVMSG
2021-11-08 20:30:23.298083, rainbow6, anishsaraf1906, what about thorn, PRIVMSG
2021-11-08 20:30:25.602326, rainbow6, czrpando, @czrpando thankyou man, PRIVMSG
2021-11-08 20:30:26.311630, rainbow6, donq_r6s, In the esport shop menu everyone get free 1 esport pack, PRIVMSG
2021-11-08 20:30:27.300707, rainbow6, ashnazg0, yo, PRIVMSG
2021-11-08 20:30:29.744857, rainbow6, ustiniaj, LUL LUL, PRIVMSG
2021-11-08 20:30:38.957483, rainbow6, captianjuancena1421, elobumSob elobumSob elobumSob elobumSob elobumSob elobumSob elobumSob elobumSob elobumSob, PRIVMSG
2021-11-08 20:30:39.471995, rainbow6, stopandrun127, dropz, PRIVMSG
