2021-11-08 11:37:48.316214, xqcow, itzs_justin, SNOWZER, PRIVMSG
2021-11-08 11:37:48.316249, xqcow, 1upmoe, make cam smalla, PRIVMSG
2021-11-08 11:37:48.316261, xqcow, bulletproofy, OMEGALUL Clap, PRIVMSG
2021-11-08 11:37:48.316271, xqcow, lyfjaberg, ??????, PRIVMSG
2021-11-08 11:37:48.520965, xqcow, syqotic, OMEGALUL 󠀀, PRIVMSG
2021-11-08 11:37:48.520994, xqcow, xboxgod6969, BatChest, PRIVMSG
2021-11-08 11:37:48.521016, xqcow, warfreak876, @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS @xqcow ENABLE FIDELITY CAS, PRIVMSG
2021-11-08 11:37:48.718232, xqcow, unknown89000, remember, no refunds, PRIVMSG
2021-11-08 11:37:48.718262, xqcow, korraslave, ITS FOR THIS GAME CHAT IS STUPID @xqcow, PRIVMSG
2021-11-08 11:37:48.718276, xqcow, domistakenbyarandom, @xQcOW Blitz pacing for quicker games @xQcOW Blitz pacing for quicker games, PRIVMSG
2021-11-08 11:37:48.718289, xqcow, mrdanfy, ALL IN ONE LUL, PRIVMSG
2021-11-08 11:37:48.718301, xqcow, tamedturtles, daphNerd, PRIVMSG
2021-11-08 11:37:48.902850, xqcow, 2ez4ginn, goodnight chat xqcL, PRIVMSG
2021-11-08 11:37:48.902897, xqcow, ant__k, xqcLL, PRIVMSG
2021-11-08 11:37:48.902915, xqcow, yahtzeexo, DO BLITZ, PRIVMSG
2021-11-08 11:37:48.902931, xqcow, chefbronel, OMEGALUL this looks more like an dlc than new game, PRIVMSG
2021-11-08 11:37:49.089276, xqcow, radio10on, xQc, any GTA in the near future?, PRIVMSG
2021-11-08 11:37:49.089310, xqcow, meisiee, OMEGALUL, PRIVMSG
2021-11-08 11:37:49.278763, xqcow, instinct4220, asssssssssssssssssssssssss, PRIVMSG
2021-11-08 11:37:49.278803, xqcow, actuallyrealuke, ????????????????????, PRIVMSG
2021-11-08 11:37:49.278821, xqcow, quinntecha, Pepega, PRIVMSG
2021-11-08 11:37:49.482308, xqcow, bombazo, Yp, PRIVMSG
2021-11-08 11:37:49.667179, xqcow, radster_brad52, Cutie BOOBA, PRIVMSG
2021-11-08 11:37:49.667224, xqcow, jimbiann, WutFace, PRIVMSG
2021-11-08 11:37:49.853189, xqcow, baloser, THIS MSUCI, PRIVMSG
2021-11-08 11:37:49.853214, xqcow, wytank, OMEGALUL, PRIVMSG
2021-11-08 11:37:50.049809, xqcow, danji8, SPENT LIKE 300, PRIVMSG
2021-11-08 11:37:50.263387, xqcow, yungkamii_, xqcCheer campaign 󠀀 xqcCheer campaign 󠀀 xqcCheer campaign 󠀀 xqcCheer campaign 󠀀, PRIVMSG
2021-11-08 11:37:50.463040, xqcow, kingghor, BatChest, PRIVMSG
2021-11-08 11:37:50.649685, xqcow, albertjnun, OMEGALUL, PRIVMSG
2021-11-08 11:37:50.649727, xqcow, pluot_blm, WOMEN POGGERS, PRIVMSG
